시도,기타 면오염원,도로이동오염원,비도로이동오염원,비산먼지,비산업 연소,생물성 연소,생산공정,에너지산업 연소,제조업 연소,폐기물처리,총합
강원,35299,190625,554726,4468375,71843,1536256,90592,164115,830542,3961,7946334
경기,60190,987925,2278344,21577343,173979,1849098,26795,407384,674958,39762,28075778
경남,22155,366601,950671,7311163,82987,1138643,30202,383777,102738,15145,10404082
경북,241229,455046,1034651,9501852,107683,2938376,1679061,19866,1689017,18314,17685095
광주,5400,72159,142265,1429710,17540,88662,28,2703,2367,3093,1763927
대구,7575,151857,193244,2009137,35332,133396,197,35042,488953,7879,3062612
대전,5312,86899,120583,1121338,21014,88363,153,3054,2735,3189,1452640
바다,0,0,3358903,0,0,0,0,0,0,0,3358903
부산,15304,149655,1383315,4752866,48757,95735,11769,53554,120307,4395,6635657
서울,31138,272994,1102244,7375328,152809,142743,0,32387,942,10521,9121106
세종,1291,24500,89186,669103,2301,71868,0,22915,3295,2426,886885
울산,63465,81912,545303,1039791,26335,98505,721398,92652,490700,52733,3212794
인천,9665,164405,808515,5168220,34934,135816,99344,326345,17493,7495,6772232
전남,15971,232324,1695862,7867072,113919,1281692,2176955,228819,284035,25280,13921929
전북,13881,222148,543440,6431857,64619,1218427,70381,89183,25675,12544,8692155
제주,3346,79233,627248,1809012,21365,173022,4,23457,122,2329,2739138
충남,13122,302554,922091,6965661,62944,1301802,1226368,940604,1019030,11815,12765991
충북,9723,246970,352489,5115125,52131,1368726,71675,6532,997587,14698,8235656
