시도,기타 면오염원,도로이동오염원,비도로이동오염원,비산먼지,비산업 연소,생물성 연소,생산공정,에너지산업 연소,제조업 연소,폐기물처리,총합
강원,17684,480618,602546,795347,77606,1364649,100138,95933,532382,2351,4069254
경기,60382,2494486,2713711,3558943,168322,1704308,53420,317421,373501,35149,11479643
경남,20779,1011150,1289829,1428057,63107,985541,42371,673876,94728,10896,5620334
경북,31387,1196420,1041556,1653743,110727,2645945,1314610,27347,1483332,9684,9514751
광주,5251,140314,161228,231121,17766,69194,1009,2484,2140,2001,632508
대구,9576,385213,220106,403496,34569,100320,716,30766,253045,4709,1442516
대전,5838,202335,120488,195646,21599,70290,399,2611,819,5512,625537
바다,0,0,3098211,0,0,0,0,0,0,0,3098211
부산,12184,289548,1396431,666393,49382,61448,11659,59034,79289,6103,2631471
서울,35474,536104,765420,1030270,158597,100129,0,6044,1147,11587,2644772
세종,1666,54752,182473,141654,2607,65463,2465,17988,1901,1989,472958
울산,5107,208128,627242,256818,30216,80656,692417,112297,273676,74688,2361245
인천,10982,317185,713934,728791,30750,102947,141422,374372,42485,6956,2469824
전남,13639,563154,1488824,1294805,72939,1134347,1723722,216639,150078,15949,6674096
전북,11011,568977,497760,1059950,49326,1044917,26740,46542,31435,21742,3358400
제주,3151,158817,659169,391310,13656,160254,195,10729,296,2472,1400049
충남,15662,804595,893770,1300019,57445,1161460,986849,1280255,857368,6398,7363821
충북,15208,725889,367586,894710,53852,1301323,86279,2833,445055,15660,3908395
