시도,기타 면오염원,도로이동오염원,비도로이동오염원,비산먼지,비산업 연소,생물성 연소,생산공정,에너지산업 연소,제조업 연소,폐기물처리,총합
강원,41014,436371,407771,5202848,147775,1584179,94362,53004,3898453,3510,11869287
경기,73304,2280289,2731892,24596996,251929,1970694,63149,247980,886139,45843,33148215
경남,25106,967513,913132,8425282,96540,1194229,79147,934851,2137713,12650,14786163
경북,22566,1098931,952061,10791358,205306,3126558,1418146,27288,26611223,11123,44264560
광주,6176,143596,115613,1485079,26508,86101,1280,2332,2424,2807,1871916
대구,11144,394535,200923,2431810,52276,125811,1255,33114,680380,7627,3938875
대전,8150,209390,137577,1426683,32186,87028,873,3780,607,5849,1912123
바다,0,0,3055361,0,0,0,0,0,0,0,3055361
부산,12179,303654,1293583,4534793,63677,81779,14525,49419,246704,6460,6606773
서울,36302,531067,657397,7545457,221927,152342,0,7341,1610,9127,9162570
세종,1538,47648,152822,1090290,8385,56304,2890,14047,2284,2575,1378783
울산,5495,213008,648967,1885303,37037,97483,791366,117384,2046830,67140,5910013
인천,12078,336128,715544,6074099,41408,148480,258933,492068,203070,9708,8291516
전남,17531,538567,1327503,9282685,104071,1521940,2386859,255673,18405029,14499,33854357
전북,12318,538461,438024,7394781,75276,1158469,54253,59278,125932,19915,9876707
제주,3684,147890,277533,2915248,17021,197503,1070,21333,955,1837,3584074
충남,18872,745835,901170,8711180,100952,1419177,1405019,2070351,13266122,10908,28649586
충북,9151,650419,389753,5839221,99562,1544201,85334,5157,2377902,14907,11015607
