시도,기타 면오염원,도로이동오염원,비도로이동오염원,비산먼지,비산업 연소,생물성 연소,생산공정,에너지산업 연소,제조업 연소,폐기물처리,총합
강원,87076,412477,613398,5248860,104847,1440440,95675,299228,1048903,3201,9354105
경기,60480,2288489,2265859,22494976,215046,1860762,39159,434134,859191,37929,30556025
경남,22117,817686,924027,7512366,83036,1174868,61918,715864,181134,14925,11507941
경북,27959,991484,1125132,9976750,149563,3016148,1674712,27412,2409066,12306,19410532
광주,5300,134367,109587,1275072,23348,73931,19,2722,2432,1527,1628305
대구,8850,312441,223328,2440610,46659,108155,173,36639,597406,8245,3782506
대전,6696,187658,161008,1391050,26759,82695,141,3389,1421,5419,1866236
바다,0,0,3348673,0,0,0,0,0,0,0,3348673
부산,22259,289773,1524716,4272246,56159,73256,12404,71913,168101,4239,6495066
서울,38890,574728,1854211,12456041,168047,101383,0,7222,962,8513,15209997
세종,1558,55874,109261,745497,2981,70178,3,23940,3132,3132,1015556
울산,5942,167859,584235,1204318,30748,98043,801551,152663,583051,58097,3686507
인천,10011,376672,843232,5402339,40766,127377,225935,345204,15618,5765,7392919
전남,16755,479233,1683989,7764405,122035,1307482,2370634,264011,245836,15770,14270150
전북,12952,487092,530563,6548374,67517,1207027,54607,68709,34719,22682,9034242
제주,3879,146691,623777,1994061,18729,166777,15,41042,201,3290,2998462
충남,16236,694401,1037938,7789719,74860,1230680,1343235,1484696,2233977,9813,15915555
충북,8747,579330,395129,5477290,72304,1404995,68007,5226,977920,17847,9006795
