시도,기타 면오염원,도로이동오염원,비도로이동오염원,비산먼지,비산업 연소,생물성 연소,생산공정,에너지산업 연소,제조업 연소,폐기물처리,총합
강원,19649,522411,648122,5130765,132427,1575397,111357,126889,1185126,3380,9455523
경기,67091,2711397,2945517,23196395,240853,2006502,60359,328389,1001953,42002,32600458
경남,23088,1099077,1391839,8860477,93210,1195685,56170,835375,170739,13600,13739260
경북,34875,1300457,1119820,9614546,186363,3188362,1709861,30226,3113373,11677,20309560
광주,5834,152515,175248,1419002,25419,86041,1132,2484,2619,2340,1872634
대구,10640,418710,239246,2358609,50175,121422,856,34959,720617,5538,3960772
대전,6487,219930,130966,1122599,30125,85118,473,4432,867,6554,1607551
바다,0,0,3321070,0,0,0,0,0,0,0,3321070
부산,13538,314726,1524951,4230139,66782,71146,15977,62599,195143,7278,6502279
서울,39415,582722,831979,6716956,206417,110719,0,6044,1373,14558,8510183
세종,1851,59514,198341,1082036,3663,80875,2739,17998,3030,2230,1452277
울산,5674,226226,688774,1600132,43005,99747,830527,165487,610508,83432,4353512
인천,12203,344766,778975,4378464,40134,126062,208543,425130,99883,8334,6422494
전남,15154,612123,1618879,7566740,112745,1429985,2299833,262533,265370,18722,14202084
전북,12234,618453,539183,6218930,75398,1289872,33496,59883,51092,24768,8923309
제주,3501,172627,696098,2354074,22051,200504,223,22666,632,3111,3475487
충남,17402,874560,973323,7607712,84647,1423330,1295548,1588986,1606715,7901,15480124
충북,16898,789010,399555,5277416,88327,1563438,96145,7037,986796,18270,9242892
