시도,기타 면오염원,도로이동오염원,비도로이동오염원,비산먼지,비산업 연소,생물성 연소,생산공정,에너지산업 연소,제조업 연소,폐기물처리,총합
강원,18617,142450,481911,742294,44483,1366417,97104,134356,431283,2810,3461725
경기,46151,792704,1905770,3594000,131439,1605229,19188,451626,281783,30733,8858623
경남,21228,284709,874740,1313985,58491,929996,21635,299024,38029,9613,3851450
경북,59642,353493,887869,1712669,68807,2607416,1283935,17365,402648,11546,7405390
광주,4082,54038,96443,240487,15127,69238,69,2792,2429,2594,487299
대구,6579,117838,125982,383116,26967,113020,171,30729,199965,4728,1009095
대전,4441,65426,112713,226146,17059,77912,123,3486,2338,2945,512589
바다,0,0,3267214,0,0,0,0,0,0,0,3267214
부산,12532,115342,1286958,855948,37431,78550,15207,57607,45459,4783,2509817
서울,27200,232328,847006,1220149,111464,124683,0,33809,591,8629,2605859
세종,1015,19822,55235,109848,1870,69179,26,24147,3776,3097,288015
울산,4692,60301,507265,202127,17452,80970,636061,93441,253254,114420,1969983
인천,7109,134961,666365,927102,33997,110408,84796,329765,15930,5853,2316286
전남,15346,184631,1567232,1323681,71659,974749,1662580,211410,143480,21732,6176500
전북,12433,169793,439649,1071122,41793,898259,59544,65275,21179,10233,2789280
제주,2986,59698,622126,384933,16449,148013,40,12254,50,1345,1247894
충남,15108,236398,847562,1283826,45330,1129634,937259,769438,120148,9357,5394060
충북,15068,194306,272820,888596,34589,1152764,73735,2638,519462,11387,3165365
