시도,기타 면오염원,도로이동오염원,비도로이동오염원,비산먼지,비산업 연소,생물성 연소,생산공정,에너지산업 연소,제조업 연소,폐기물처리,총합
강원,305162,279278,513025,777501,51821,1326727,89476,164179,496224,2899,4006292
경기,55757,1432305,2028493,3462014,145635,1568016,25389,402803,289833,33787,9444032
경남,18428,550970,879539,1274402,55885,952949,24639,461669,44593,16362,4279436
경북,23117,682983,952088,1669665,78819,2489907,1352494,19258,405610,12620,7686561
광주,4639,84957,153354,255225,15674,62793,94,2677,2284,1763,583460
대구,7584,200582,324260,418600,29504,93001,210,34894,197756,10423,1316814
대전,5029,118714,121180,214534,18790,66488,122,2574,1664,4479,553574
바다,0,0,3287811,0,0,0,0,0,0,0,3287811
부산,20546,187062,1417918,620147,40193,72322,7056,51106,48240,3997,2468587
서울,32405,307098,940221,1148664,135323,111146,0,10821,867,8795,2695340
세종,1135,38664,70665,110180,1986,58809,225,16570,1847,2312,302393
울산,4215,115175,552388,209606,21582,74992,653283,83365,203833,60500,1978939
인천,8514,206262,798003,888560,31377,106157,101926,295814,12845,7755,2457213
전남,15826,327437,1626080,1386302,85566,1046353,1731087,221607,140453,12150,6592861
전북,12161,328788,514848,1118135,44044,1046800,57687,71760,26210,17442,3237875
제주,3332,97122,591046,353958,12489,141834,38,16798,72,3594,1220283
충남,12403,472199,946670,1321862,48776,1084998,1019334,984606,162353,9550,6062751
충북,9164,380912,327732,868480,39373,1178331,61096,1756,497232,13056,3377132
