시도,기타 면오염원,도로이동오염원,비도로이동오염원,비산먼지,비산업 연소,생물성 연소,생산공정,에너지산업 연소,제조업 연소,폐기물처리,총합
강원,31769,175375,519556,747337,47285,1334836,81390,129324,385976,3026,3455874
경기,54171,908891,2101990,3495749,134888,1578318,22150,402460,258800,33900,8991317
경남,19939,337273,893631,1283645,59709,942325,21889,309632,59765,12537,3940345
경북,217106,418643,968096,1688467,72676,2440117,1299079,17868,754635,15723,7892410
광주,4860,66386,130884,243901,15422,71282,17,2703,2291,2783,540529
대구,6818,139708,177784,367923,27449,108985,119,30336,172043,6844,1038009
대전,4781,79947,110936,205835,17332,72444,92,2766,2310,2791,499234
바다,0,0,3134848,0,0,0,0,0,0,0,3134848
부산,13774,137682,1270388,779127,40012,82179,8462,51072,49397,3798,2435891
서울,28024,251155,1014064,1131093,127671,126990,0,32387,847,8418,2720649
세종,1162,22540,82050,109289,1884,57963,0,22880,2142,2173,302083
울산,57119,75359,495709,197171,19919,80097,597308,82808,230860,42303,1878653
인천,8699,151253,742774,905777,29355,111836,64487,293863,15585,6311,2329940
전남,14374,213738,1568156,1356583,78685,1016299,1634674,193463,154459,21765,6252196
전북,12493,204377,502794,1104018,44949,990492,55219,67095,19062,10848,3011347
제주,3011,72894,603616,352300,14937,137853,2,13058,48,1842,1199561
충남,11810,278349,851602,1259290,47438,1062480,921242,766350,565665,9824,5774050
충북,8750,227212,324286,886057,36207,1141068,64395,2928,456954,12650,3160507
