시도,기타 면오염원,도로이동오염원,비도로이동오염원,비산먼지,비산업 연소,생물성 연소,생산공정,에너지산업 연소,제조업 연소,폐기물처리,총합
강원,20686,154837,512979,4342959,65447,1572461,108035,171006,936916,3748,7889074
경기,51279,861635,2064437,22493537,162867,1876225,23559,456971,745224,36318,28772052
경남,23587,309466,928248,7444058,78968,1120352,29677,370699,60734,11695,10377484
경북,66269,384232,945896,9418740,98800,3132099,1660619,19066,1040567,13740,16780028
광주,4536,58737,104752,1366223,16485,85985,90,2792,2481,2882,1644963
대구,7310,128084,136873,2039717,32438,138269,284,36551,567949,5399,3092874
대전,4935,71115,122515,1265461,20351,94210,199,3582,2869,3317,1588554
바다,0,0,3504954,0,0,0,0,0,0,0,3504954
부산,13925,125372,1399303,5379622,44764,91169,20997,60291,115983,5438,7256864
서울,30222,252531,919979,8017756,127573,139564,0,33809,646,10896,9532976
세종,1128,21546,60039,649617,2241,84868,30,24184,5098,3454,852205
울산,5213,65544,558042,1108607,21997,99672,774476,97998,540358,147565,3419472
인천,7899,146697,724395,5315759,43383,133659,128408,362479,17529,7051,6887259
전남,17051,200686,1694511,7447378,104577,1235257,2230144,251895,260046,25106,13466651
전북,13814,184558,474776,6061221,57481,1109151,77032,86988,27613,11877,8104511
제주,3318,64889,643890,1946815,22344,184877,67,21853,122,1722,2889897
충남,16787,256955,917330,7061031,59470,1382544,1259314,938715,147915,11142,12051203
충북,16742,211203,296471,5054151,48438,1387130,82069,6338,1156104,13207,8271853
