시도,기타 면오염원,도로이동오염원,비도로이동오염원,비산먼지,비산업 연소,생물성 연소,생산공정,에너지산업 연소,제조업 연소,폐기물처리,총합
강원,130293,451735,569115,820884,69530,1328976,104034,142334,465514,2707,4085122
경기,59195,2159953,2355873,3512917,161300,1680872,38608,381554,383072,34439,10767783
경남,23552,864558,996019,1339072,60883,983796,34819,658532,43832,13359,5018422
경북,30608,1065328,958669,1653548,99488,2596850,1240493,21205,651109,10482,8327780
광주,5106,135703,183905,254317,17868,65726,742,2700,2271,1327,669665
대구,8946,311011,139297,393135,35173,100281,110,29636,248620,7058,1273267
대전,6222,183140,130457,213781,20200,74294,474,2641,767,6082,638058
바다,0,0,3168526,0,0,0,0,0,0,0,3168526
부산,14378,280662,1447256,685951,44512,69253,13663,49600,74577,6226,2686078
서울,33087,500840,1070781,1229252,145567,106257,0,7131,1055,8149,3102119
세종,1742,57650,120850,118546,2658,63055,487,19960,1800,2480,389228
울산,7128,180129,547090,223248,25407,84429,656770,81517,221129,60963,2087810
인천,9328,329780,1085378,1078059,30692,107970,130270,349582,14361,5997,3141417
전남,16691,496942,1522802,1323186,86244,1083384,1841003,222640,132999,15146,6741037
전북,11141,501263,527642,1069374,48359,1040398,39138,42574,22196,17350,3319435
제주,4122,143916,573100,362334,14090,142197,11,15198,226,2629,1257823
충남,16813,720932,861514,1345108,53942,1145613,992282,1227997,161991,13734,6539926
충북,9331,595440,383969,913940,50044,1273711,86171,2600,433026,12235,3760467
