시도,기타 면오염원,도로이동오염원,비도로이동오염원,비산먼지,비산업 연소,생물성 연소,생산공정,에너지산업 연소,제조업 연소,폐기물처리,총합
강원,339069,303563,548928,4775525,81991,1527111,99576,212484,1106516,3816,8998579
경기,61952,1556853,2199408,21563858,194899,1834399,29808,408189,771526,39870,28660762
경남,20476,598881,937896,7348730,76619,1152538,33886,572054,72605,19559,10833244
경북,25686,742373,1019230,9509278,122021,2994811,1754574,21193,1012011,14799,17215976
광주,5154,92345,166689,1536565,19106,76780,113,2677,2360,1959,1903748
대구,8426,218024,352457,2567286,40053,111784,299,39984,562439,11871,3912623
대전,5587,129036,131718,1203506,23508,80161,186,2766,1731,5179,1583378
바다,0,0,3527102,0,0,0,0,0,0,0,3527102
부산,22829,203328,1547326,3789835,49996,82869,9801,54555,122977,4621,5888137
서울,36005,333802,1021980,7763537,165651,122749,0,10821,983,10918,9466446
세종,1262,42026,76811,681616,2517,72396,251,16601,2937,2577,898994
울산,4684,125191,607883,1151526,29354,91502,784254,96213,438897,68042,3397546
인천,9461,224198,869486,5199439,39438,128741,146566,332312,13765,9053,6972459
전남,17585,355910,1761947,8283126,125999,1323316,2307403,276416,253851,14617,14720170
전북,13513,357378,557050,6645154,64163,1287499,75566,94517,39232,20122,9154194
제주,3702,105567,616681,1847456,18894,177878,43,39643,190,4255,2814309
충남,13781,513260,1027084,7592520,66219,1328112,1372040,1209563,250451,11571,13384601
충북,10182,414035,356236,5063436,58625,1413037,68010,4296,1080103,15218,8483178
