pm_type,best_alpha,MSE,RMSE,R²,target_mean
pm10,1000.0,32.77366464994859,5.724828787828383,0.25430715785070723,39.1015625
pm2.5,1000.0,15.347245986741584,3.917556124261857,0.14974798976524895,21.7734375
