시도,기타 면오염원,도로이동오염원,비도로이동오염원,비산먼지,비산업 연소,생물성 연소,생산공정,에너지산업 연소,제조업 연소,폐기물처리,총합
강원도,527926,130525,500485,712831,43513,1435534,305371,149638,470801,2340,4278964
경기도,54120,766869,1839778,3534117,131707,1553333,21329,487704,315160,28559,8732676
경상남도,171895,255199,948528,1248202,57466,970849,31518,311941,44472,8733,4048803
경상북도,1725584,320436,902575,1618257,66844,2644444,1026446,21996,591501,11399,8929482
광주광역시,4201,51132,91228,225931,15384,66653,39,2936,2520,1950,461974
대구광역시,20516,106578,190131,389212,26391,137295,136,30459,215069,5133,1120920
대전광역시,5295,60763,120774,231935,17435,73046,121,3783,2426,3032,518610
부산광역시,16573,102464,1270563,750255,37976,79130,15382,65150,53447,2581,2393521
서울특별시,29896,212331,582157,1055884,106499,134358,0,30231,436,9133,2160925
세종특별자치시,1333,18508,39742,102027,1909,62589,2,21491,3892,2442,253935
울산광역시,7042,55707,560138,235208,17825,108523,684291,187037,258231,19173,2133175
인천광역시,7130,138176,613986,867561,36305,108201,86898,285344,18008,6454,2168063
전라남도,22205,164410,1568917,1120845,71895,1019554,1652874,201081,237693,11967,6071441
전라북도,15454,148418,432850,946965,41520,958315,49470,57335,19062,10182,2679571
제주특별자치도,3379,57220,638639,396648,15675,151133,27,13450,50,1086,1277307
충청남도,30351,221682,874270,1208472,45993,1196533,966302,796141,139652,8177,5487573
충청북도,9875,182537,292280,864810,33863,1550722,114390,1926,570502,11646,3632551
