feature,VIF
기타 면오염원,1.289081551925549
도로이동오염원,6.810157469275178
비도로이동오염원,7.481178648025143
비산먼지,3.6055391611340806
비산업 연소,9.492967386588084
생물성 연소,5.3799440410192965
생산공정,2.8038614164286892
에너지산업 연소,1.7883300585244972
제조업 연소,1.3906848023108225
폐기물처리,1.756372809889643
